restaurant,address,city,state,zipcode,inspection_date,score,latitude,longitude
Thumbs Up Diner,1140 Alpharetta ST STE 100,Roswell,GA,30075,2019-09-09,91,34.0301291,-84.3559894
Waffle House #7,1674 West Washington RD,Eastpoint,GA,30344,2020-01-14,92,33.6753008,-84.4436248
American Deli,4514 Washington RD,Atlanta,GA,30349,2020-01-02,90,33.6329729,-84.4917160
Dunkin Donuts,350 Ferst DR NW,Atlanta,GA,30332,2017-09-27,86,33.7742484,-84.3988420
Waffle House #877,4370 Jonesboro RD,Union City,GA,30291,2020-02-25,91,33.5665104,-84.5323147
Starbucks,3393 Peachtree NE,Atlanta,GA,30326,2020-03-05,100,33.8463350,-84.3635778
Piedmont Driving Club/Pool Grill,1215 Piedmont AVE,Atlanta,GA,30309,2018-12-03,100,33.7879578,-84.3773818
Johnny's NY Style Pizza,1465 Chattahoochee AVE STE 850,Atlanta,GA,30318,2019-09-11,93,33.8072887,-84.4342521
Bocado,887 Howell Mill RD STE 2,Atlanta,GA,30318,2018-11-15,96,33.7793770,-84.4094696
Corner Cafe,13560 Morris RD STE 1160,Alpharetta,GA,30004,2019-01-09,97,34.0951530,-84.2584164
Sara Donuts,9760 Medlock Bridge RD,Johns Creek,GA,30097,2020-01-30,93,34.0194909,-84.1903148
Subway,5920 Roswell RD STE B-105,Atlanta,GA,30328,2019-12-13,100,33.9165372,-84.3811002
Cocina Sofia Inc.,10390 Alpharetta ST STE 120,Roswell,GA,30076,2019-11-13,95,34.0359389,-84.3473610
Subway #45711,250 Park AVE,Atlanta,GA,30326,2019-03-28,80,33.7615102,-84.3948784
Hankook Taqueria,1341 Collier RD,Atlanta,GA,30318,2019-06-24,91,33.8115305,-84.4316369
Cherokee Town And Country Club-Tavern,155 West Paces Ferry RD NW,Atlanta,GA,30305,2019-09-24,100,33.8452212,-84.3887249
Cherokee Town And Country Club- Upstairs Kitchen,155 West Paces Ferry RD NW,Atlanta,GA,30305,2019-09-24,91,33.8452212,-84.3887249
Cherokee Town And Country Club- Downstairs Kitchen,155 W Paces Ferry NW,Atlanta,GA,30305,2019-09-24,95,33.8452212,-84.3887249
Bistro Niko,3344 Peachtree RD STE 100,Atlanta,GA,30326,2019-12-02,96,33.8471056,-84.3687147
Genki Noodles & Sushi,5590 Roswell RD STE 100,Atlanta,GA,30342,2020-01-23,87,33.9074587,-84.3802014
Taco Mac Prado,5600 Roswell RD STE 003,Sandy Springs,GA,30342,2020-03-04,96,33.9085592,-84.3790530
Tuk Tuk,1745 Peachtree ST STE Y,Atlanta,GA,30309,2019-06-20,98,33.8017938,-84.3924080
Second Ponce De Leon Baptist Church,2715 Peachtree RD NE,Atlanta,GA,30305,2019-11-21,92,33.8293375,-84.3858138
Cuts Steakhouse,60 Andrew Young International BLVD,Atlanta,GA,30303,2020-02-05,91,33.7599010,-84.3857852
Bishoku,5920 Roswell RD STE B111,Sandy Springs,GA,30328,2019-11-22,100,33.9165372,-84.3811002
Hudson Grille,942 Peachtree ST NE,Atlanta,GA,30309,2019-06-11,93,33.7803752,-84.3844714
Miller Union,999 Brady AVE STE 6,Atlanta,GA,30318,2019-03-26,90,33.7819764,-84.4130810
Capitol Commons Cafe,200 Piedmont AVE SE,Atlanta,GA,30334,2019-03-29,100,33.7502387,-84.3863457
Garden Of Roswell Assisted Living,9212 Nesbit Ferry RD,Alpharetta,GA,30022,2020-01-28,100,34.0030639,-84.2775042
Piedmont Driving Club/Park Room,1215 Piedmont AVE,Atlanta,GA,30309,2018-12-03,99,33.7879578,-84.3773818
Uncle Julio's Fine Mexican Food,1140 Hammond DR STE K-100,Sandy Springs,GA,30328,2019-11-06,100,33.9193916,-84.3775530
"Seafood Concepts,Inc Dba Yasin's Homestyle Seafood",5340 Old National HWY,College Park,GA,30349,2019-11-06,83,33.6102112,-84.4708527
Einstein Bros. Bagels #3553,11600 Medlock Bridge RD STE 120,Duluth,GA,30097,2019-04-02,95,34.0640672,-84.1716626
Subway #46524,6045 Old National HWY STE 101,Atlanta,GA,30349,2019-09-04,90,33.5898329,-84.4720684
Canteen On Paces,950 East Paces Ferry RD NE STE 140,Atlanta,GA,30326,2019-10-30,100,33.8472718,-84.3572446
Jamaica Jamaica Luxe LLC.,4801 Old National HWY,College Park,GA,30349,2019-07-01,83,33.6245444,-84.4746652
Panera Bread #1336,6480 North Point PKWY STE A 109,Alpharetta,GA,30022,2019-06-17,100,34.0441055,-84.2925562
Le Mekong,10900 Medlock Bridge RD STE 105,Johns Creek,GA,30097,2019-06-28,98,34.0473027,-84.1789728
Pastis Restaurant And Bar,928 Canton ST,Roswell,GA,30075,2018-05-02,91,34.0237385,-84.3617217
Panera Bread #1378,5304 Windward PKWY,Milton,GA,30004,2019-12-04,99,34.0896621,-84.2735966
Jimmy John's,6064 Roswell RD,Sandy Springs,GA,30328,2019-12-05,100,33.9205473,-84.3794496
Ormsby's,1170 Howell Mill RD STE 20,Atlanta,GA,30318,2019-03-18,83,33.7859263,-84.4119319
Fulton County Jail Officer's Dining Area (Upstairs,901 Rice ST,Atlanta,GA,30305,2019-12-05,99,33.7778623,-84.4253726
Fulton County Jail Officer's Dining Area Downstair,901 Rice ST,Atlanta,GA,30305,2019-12-05,100,33.7778623,-84.4253726
Webb Bridge Rd. Middle School,4455 Webb Bridge,Alpharetta,GA,30022,2020-02-20,100,34.0680527,-84.2311625
Sadie G. Mays Health And Rehabilitation Center,1821 Anderson AVE NW,Atlanta,GA,30314,2019-01-15,90,33.7560109,-84.4470495
Eyecandy,5299 Old National HWY,College Park,GA,30349,2019-03-25,100,33.6109652,-84.4721235
Checkers @ Peachtree Center,233 Peachtree ST NE STE B46,Atlanta,GA,30303,2019-02-26,100,33.7605589,-84.3870540
"Bole Ethiopian Restaurant, Inc.",1650 Virginia AVE,College Park,GA,30337,2019-06-27,88,33.6589279,-84.4429625
This Is It BBQ & Seafood,6045 Old National HWY STE 201,College Park,GA,30349,2019-09-10,86,33.5898329,-84.4720684
Wild Wing Cafe,5530 Windward PKWY STE E 800,Alpharetta,GA,30004,2019-03-26,96,34.0887164,-84.2677097
Party Chic By Kelly Kakes - Bar,953 Canton ST,Roswell,GA,30075,2019-02-11,100,34.0246207,-84.3612876
Uchi Japanese Restaurant,8420 Holcomb Bridge RD STE 280,Alpharetta,GA,30022,2019-11-20,100,33.9853402,-84.2705527
Daquiri/Coffee-L05,285 Andrew Young International BLVD NW,Atlanta,GA,30313,2020-03-02,100,33.7585199,-84.3961482
Daquiri/Coffee- L31,285 Andrew Young International BLVD NW,Atlanta,GA,30313,2020-03-02,100,33.7585199,-84.3961482
Daquiri/Coffee-L19,285 Andrew Young International BLVD,Atlanta,GA,30313,2020-03-02,100,33.7585199,-84.3961482
"Zaxby's - The Londonberry Group, LLC",6801 Shannon WAY,Union City,GA,30291,2019-09-03,90,33.5699959,-84.5393048
Douceur De France,1173 Alpharetta ST,Roswell,GA,30075,2019-09-09,100,34.0305540,-84.3537736
China 1,3530 Camp Creek PKWY STE 130,Eastpoint,GA,30344,2018-08-20,83,33.6551497,-84.5049645
Christian City,7300 Lester RD,Union City,GA,30291,2019-05-29,85,33.5564292,-84.5227514
Wing And Fish Georgia,216 Broad ST STE C,Fairburn,GA,30213,2019-07-02,87,33.5700650,-84.5760157
American Deli,1624 Donald Lee Hollowell PKWY STE 105,Atlanta,GA,30318,2019-02-15,97,33.7723185,-84.4413585
El Zarape Mexican Restaurant,880 Atlanta ST,Roswell,GA,30075,2019-09-30,96,34.0223823,-84.3619476
New China,920 Marietta HWY STE 310,Roswell,GA,30075,2019-09-17,96,34.0052401,-84.3889465
Hobnob Neighborhood Tavern,1551 Piedmont AVE,Atlanta,GA,30324,2019-10-29,90,33.7967434,-84.3690116
Sushi Bar Sarku Japan,3393 Peachtree RD NE STE K-113,Atlanta,GA,30326,2020-03-06,97,33.8463350,-84.3635778
Wendy's,1568 Holcomb Bridge RD,Roswell,GA,30076,2019-09-24,91,34.0187477,-84.3130924
Georgia Cafe,600 W Peachtree ST NW STE 40,Atlanta,GA,30308,2018-04-24,90,33.7707884,-84.3878992
West Egg Cafe,1100 Howell Mill RD STE 190,Atlanta,GA,30318,2019-07-01,93,33.7848403,-84.4125345
Hans Chinese Food Carry Out,798 James Jackson PKWY,Atlanta,GA,30318,2019-10-23,90,33.7770158,-84.4743865
Ribalta,1080 Peachtree ST NE STE 9,Atlanta,GA,30309,2018-01-12,97,33.7839725,-84.3841840
Wendy's,2096 Metropolitan PKWY,Atlanta,GA,30315,2019-04-24,88,33.6975046,-84.4077665
Grant Park Coffeehouse,753-A Cherokee AVE SE,Atlanta,GA,30315,2019-05-06,84,33.7337941,-84.3738573
Crowne Plaza Atlanta Airport - Benton Restaurant,1325 Virginia AVE,Atlanta,GA,30344,2019-06-10,87,33.6602364,-84.4316266
Crowne Plaza Atlanta Airport - Lobby Bar,1325 Virginia AVE,Atlanta,GA,30344,2019-06-10,100,33.6602364,-84.4316266
Wendy's,3675 Cascade RD,Atlanta,GA,30331,2019-09-05,88,33.7237960,-84.5077786
Wendy's,4307 State Bridge RD,Alpharetta,GA,30022,2019-07-01,91,34.0577894,-84.2335189
Wendy's,11855 Alpharetta HWY,Roswell,GA,30076,2018-06-25,88,34.0659183,-84.3150449
Westminister School,1424 West Paces Ferry RD,Atlanta,GA,30327,2019-10-09,97,33.8476086,-84.4334235
Westminster Campus Center,1424 West Paces Ferry RD,Atlanta,GA,30327,2019-10-09,100,33.8476086,-84.4334235
Wieuca Rd Baptist Church,3626 Peachtree RD,Atlanta,GA,30326,2020-02-18,100,33.8552287,-84.3598691
Willy's Mexicana Grill,4377 Roswell RD,Atlanta,GA,30342,2019-10-28,96,33.8739149,-84.3801948
Lake Windward Elementary School,11770 East Fox CTR,Alpharetta,GA,30022,2019-09-16,100,34.0700828,-84.2127380
Woodland Elementary School,1130 Spalding DR,Atlanta,GA,30328,2020-02-18,100,33.9614205,-84.3515759
Woodward Academy - High School,1680 Rugby AVE,College Park,GA,30337,2019-12-03,95,33.6627924,-84.4439783
Woodward North,6565 Boles RD,Duluth,GA,30097,2019-09-26,100,34.0330424,-84.1646313
"Piedmont Zesto, Inc",2469 Piedmont RD N,Atlanta,GA,30324,2019-01-03,82,33.8229125,-84.3669171
Zesto's #7,1181 East Confederate AVE,Atlanta,GA,30316,2019-05-16,83,33.7334670,-84.3649900
"A G Rhodes Home, Inc.",350 Boulevard SE,Atlanta,GA,30312,2019-03-20,100,33.7450765,-84.3669377
Blimpies,1509 Virginia AVE,Atlanta,GA,30337,2018-10-09,86,33.6595858,-84.4383272
Blind Willie's,828 North Highland AVE NE,Atlanta,GA,30306,2017-03-14,93,33.7771225,-84.3527056
A. Phillip Randolph Elementary School,5320 Campbellton RD SW,Atlanta,GA,30331,2019-09-23,100,33.7047897,-84.5608882
Blue Ridge Grill,1261 West Paces Ferry RD,Atlanta,GA,30327,2019-09-19,92,33.8496270,-84.4292062
Bone's Bar,3130 Piedmont RD,Atlanta,GA,30305,2018-12-18,100,33.8421033,-84.3711029
Bone's Restaurant,3130 Piedmont RD,Atlanta,GA,30305,2019-07-17,100,33.8421033,-84.3711029
Aa Synagogue Meat Kitchen,600 Peachtree Battle,Atlanta,GA,30327,2019-05-20,94,33.8233671,-84.4089772
Aa Synagogue Milk Kit,600 Peachtree Battle,Atlanta,GA,30327,2019-05-20,100,33.8233671,-84.4089772
Brookview Elementary School,3250 Hammarkskjold DR,Eastpoint,GA,30344,2019-11-13,99,33.6464073,-84.4958093
Brookwood Grill,880 Holcomb Bridge RD STE A,Roswell,GA,30076,2020-01-07,100,34.0298008,-84.3356302
Brookwood Hills Concession,77 Wakefield DR N,Atlanta,GA,30309,2019-05-07,100,33.8074299,-84.3885872
Brunswick Roswell Lanes Lounge,785 Old Roswell RD,Roswell,GA,30076,2019-03-05,100,34.0342154,-84.3387046
Bowlero Roswell (Snack),785 Old Roswell RD,Roswell,GA,30076,2019-09-19,99,34.0342154,-84.3387046
Bucket Shop Cafe,3475 Lenox RD,Atlanta,GA,30326,2020-01-10,96,33.8493420,-84.3606949
Corner Cafe,3070 Piedmont RD,Atlanta,GA,30305,2019-01-07,87,33.8391860,-84.3696071
Buckhead Diner,3073 Piedmont RD N,Atlanta,GA,30305,2020-02-21,99,33.8394056,-84.3687036
Bullpen,735 Pollard BLVD SW,Atlanta,GA,30315,2019-11-18,90,33.7348289,-84.3913686
103 West Restaurant,103 West Paces Ferry RD,Atlanta,GA,30305,2019-09-11,93,33.8415646,-84.3836507
Cafe 1117,1117 Perimeter Center West - Suite,Atlanta,GA,30338,2019-06-19,83,33.9306528,-84.3526440
Cafe 1475,1475 Peachtree ST NE,Atlanta,GA,30309,2019-09-09,97,33.7951880,-84.3877599
Afro Dish,209 Edgewood AVE STE 126,Atlanta,GA,30303,2019-11-04,93,33.7540215,-84.3799140
Cafe Sunflower,5975 Roswell RD STE 353,Atlanta,GA,30328,2019-03-19,93,33.9185300,-84.3779526
California Pizza Kitchen,6301 North Point PKWY,Alpharetta,GA,30022,2017-10-11,90,34.0470841,-84.2913226
Campbell Elementary School,290 Fairview DR,Fairburn,GA,30213,2019-10-23,100,33.5728345,-84.5744881
Canterbury Court,3750 Peachtree RD N,Atlanta,GA,30319,2020-02-10,99,33.8565749,-84.3506311
Capital City Club Bar,7 John Portman BLVD,Atlanta,GA,30303,2018-10-16,100,33.7612162,-84.3879201
Capital City Club Bar,53 West Brookhaven DR NE,Atlanta,GA,30319,2019-05-02,100,33.8644713,-84.3500438
Capital City Club Pl S/b,53 West Brookhaven DR NE,Atlanta,GA,30319,2020-01-29,100,33.8644713,-84.3500438
Capital City Club Rest,7 John Portman BLVD,Atlanta,GA,30303,2019-07-02,99,33.7612162,-84.3879201
Capital City Kitchen,53 West Brookhaven DR N,Atlanta,GA,30319,2020-01-29,100,33.8644713,-84.3500438
Caribou Coffee,3255 Peachtree RD,Atlanta,GA,30305,2020-02-25,99,33.8432439,-84.3707126
Aldo's Italian Restaurant,6690 Roswell RD STE 2120 BldgF,Atlanta,GA,30328,2020-01-24,95,33.9376168,-84.3800636
Carrie Steele Pitts Home,667 Fairburn RD,Atlanta,GA,30331,2019-06-10,91,33.7338910,-84.5110834
Cascade East Point Elk Lodge #,7090 Oakley Industrial BLVD,Union City,GA,30291,2019-03-25,96,33.5639248,-84.5247925
Centennial High School,9310 Scott RD,Roswell,GA,30076,2020-03-04,100,34.0070470,-84.2908428
Chaplins,555 South Atlanta ST STE B-100,Roswell,GA,30075,2019-06-11,88,34.0133512,-84.3622034
Charlie Pero's Pizza,3521 Northside PKWY NW,Atlanta,GA,30327,2019-07-03,91,33.8509891,-84.4290523
Chattahoochee High School,5230 Taylor RD,Johns Creek,GA,30022,2019-09-12,100,34.0489840,-84.2080653
Checker's #1144,2841 Greenbriar PKWY,Atlanta,GA,30311,2019-09-25,87,33.6877868,-84.4934528
Checker's #626,3169 Camp Creek PKWY,Eastpoint,GA,30334,2019-12-05,85,33.6542838,-84.4935704
Cheetah III Lounge,887 Spring ST NW,Atlanta,GA,30308,2019-07-15,91,33.7793325,-84.3883306
Cherokee Country Club - Kitchen,665 Hightower TRL,Atlanta,GA,30338,2020-01-28,100,33.9909153,-84.3632875
Cherokee Town and Country Club Snack,155 West Paces Ferry RD,Atlanta,GA,30305,2019-09-24,100,33.8452212,-84.3887249
Chick Fil-A,2180 North Point CIR,Alpharetta,GA,30022,2019-12-19,100,34.0501113,-84.2969664
Chick-Fil-A,4285 State Bridge RD,Alpharetta,GA,30022,2019-07-01,100,34.0571760,-84.2329221
Chick-Fil-A #448,8475 Holcomb Bridge RD,Alpharetta,GA,30022,2020-01-06,99,33.9867043,-84.2704910
Chick-fil-a #458,1942 Howell Mill RD,Atlanta,GA,30318,2019-06-10,99,33.8076612,-84.4130835
Chick-Fil-A #636,1145 Mount Vernon HWY,Atlanta,GA,30338,2019-12-02,97,33.9340429,-84.3499814
Chick-Fil-A #873,6085 North Point PKWY,Alpharetta,GA,30022,2020-01-29,100,34.0485383,-84.2885468
Chick-Fil-A #931,3419 Northside PKWY,Atlanta,GA,30327,2019-09-10,96,33.8474142,-84.4288164
Chili's,7800 North Point PKWY,Alpharetta,GA,30022,2019-06-24,96,34.0388356,-84.3053888
Chin Chin II Chinese Restaurant,699 Ponce De Leon AVE STE 18,Atlanta,GA,30308,2019-07-30,99,33.7729192,-84.3640217
China Cafeteria,609 Cascade AVE SW,Atlanta,GA,30310,2019-04-10,91,33.7389591,-84.4346213
Alpha Delta Pi Sorority Kitchen,729 Brittain DR,Atlanta,GA,30313,2019-04-16,100,33.7745783,-84.3928464
China Garden,657 Holcomb Bridge RD,Roswell,GA,30075,2019-11-20,85,34.0334341,-84.3423323
Alpha Soda,11760 Haynes Bridge,Alpharetta,GA,30004,2017-09-25,90,34.0685564,-84.2942833
Chops Restaurant,3060 Peachtree RD,Atlanta,GA,30305,2019-09-18,93,33.8392815,-84.3806618
Alpharetta ElementarySchool,192 Mayfield ST,Alpharetta,GA,30201,2020-02-27,100,34.0817673,-84.3015617
Alpharetta Swimming Pool Concession (seasonal),1815 Old Milton PKWY,Alpharetta,GA,30004,2019-06-24,100,34.0705833,-84.3055805
Altobeli,3000 Old Alabama RD,Alpharetta,GA,30201,2019-09-13,100,34.0226995,-84.2713053
City Of East Point Jail Kitchen,2727 East Point ST,Eastpoint,GA,30344,2019-07-16,95,33.6806138,-84.4421688
Clarks Colonnade Restaurant,1879 Cheshire Bridge RD,Atlanta,GA,30324,2019-02-15,96,33.8092277,-84.3609824
AMC Theatres Buckhead Backlot 6,3340 Peachtree RD,Atlanta,GA,30326,2019-12-02,91,33.8474465,-84.3709559
AMC Theatres Mansell Crossing 14,7730 North Point PKWY,Alpharetta,GA,30022,2019-03-12,100,34.0389813,-84.3036577
Community Friendship,85 Renaissance PKWY,Atlanta,GA,30308,2019-05-06,80,33.7683969,-84.3846151
Concourse Athletic Club,8 Concourse PKWY NE,Atlanta,GA,30328,2019-12-02,91,33.9163543,-84.3552729
Concourse Cafe,8 Concourse PKWY,Atlanta,GA,30328,2020-01-09,100,33.9163543,-84.3552729
Conley Hills Elementary School,2580 Delowe DR,Eastpoint,GA,30344,2019-11-06,96,33.6850173,-84.4568508
Country Inn & Suites - Continental Breakfast,759 Pollard BLVD SW,Atlanta,GA,30315,2020-01-07,77,33.7340381,-84.3912044
Copeland's Deli,5461 Meridian Mark Rd Ste 150,Atlanta,GA,30342,2019-10-15,100,33.9052200,-84.3544139
Country Club Of Roswell Halfway House,2500 Club Springs DR,Roswell,GA,30076,2020-01-21,100,34.0237463,-84.2837377
Uncle Woody's II (South),3850 Jonesboro RD,Atlanta,GA,30354,2019-10-11,88,33.6499513,-84.3649869
Cowtippers,1595 Piedmont RD,Atlanta,GA,30324,2018-01-31,99,33.8080596,-84.3658903
Crabapple Crossing Elementary,12765 Birmingham HWY,Alpharetta,GA,30202,2020-03-03,100,34.0955954,-84.3379561
Crabapple Middle School,10700 Crabapple RD,Roswell,GA,30075,2019-09-12,100,34.0403590,-84.3636850
Cross Creek Cafe,1221 Cross Creek PKWY,Atlanta,GA,30327,2019-07-02,75,33.8213365,-84.4273903
Crossroads Ministries,420 Courtland ST,Atlanta,GA,30308,2019-10-07,92,33.7661254,-84.3844099
112 Mega-Plex The Crowe's Nest,5495 Old National HWY STE B-13,College Park,GA,30349,2019-04-27,91,33.6053019,-84.4724980
D & D Bar-B-Que,1975 Sylvan RD,Atlanta,GA,30310,2019-06-19,100,33.7006459,-84.4185181
Dairy Queen,1260 Alpharetta ST,Roswell,GA,30075,2019-09-06,97,34.0331022,-84.3506927
AMC Theatres Phipps Plaza 14,3500 Peachtree RD,Atlanta,GA,30326,2019-10-08,100,33.8525865,-84.3619899
Deli Market Cafe,4403 Northside Pkwy Suite 170,Atlanta,GA,30327,2018-12-05,97,33.8671166,-84.4498383
Diamond Hall Conference Center,5495 Old National HWY,College Park,GA,30349,2019-05-16,95,33.6053019,-84.4724980
American Golf Snack Bar,216 West Wieuca RD,Atlanta,GA,30342,2017-10-20,95,33.8767081,-84.3796040
Doc Chey's Noodle House,1424 North Highland AVE,Atlanta,GA,30306,2019-04-03,96,33.7932552,-84.3518561
Rahim's On Wheels,4485 Campbellton RD,Atlanta,GA,30331,2019-06-10,100,33.6965066,-84.5349533
B51 Restaurant & Bar,2450 Piedmont RD NE,Atlanta,GA,30324,2020-03-13,91,33.8228857,-84.3677590
Woodward Academy Snack Bar & Concessions,1576 Walker AVE,College Park,GA,30337,2019-09-26,90,33.6629143,-84.4408152
Meehan's Public House,200 Peachtree ST NW,Atlanta,GA,30303,2020-02-04,85,33.7489504,-84.3943303
Power Smoothies,2660 Godby,College Park,GA,30337,2019-11-22,100,33.6152635,-84.4754155
American Wing & Deli,199 Mitchell ST,Atlanta,GA,30303,2019-10-23,84,33.7518136,-84.3940574
Judy's Restaurant,38 Hudson,Fairburn,GA,30213,2019-12-16,96,33.5658556,-84.5826959
Iron Skillet,3181 Donald Lee Hollowell PKWY,Atlanta,GA,30318,2019-04-11,90,33.7888807,-84.4892419
Sodexo @ UPS Headquarters Cafe 35,35 Glenlake Parkway,Atlanta,GA,30328,2019-12-12,91,33.9391366,-84.3593664
Subway,2202 North Point Circle,Alpharetta,GA,30022,2019-12-17,100,34.0500949,-84.2970206
Loews Atlanta Hotel (Banquet Kitchen),1065 Peachtree ST,Atlanta,GA,30309,2019-10-24,99,33.7833563,-84.3832007
Saltwood (Main Kitchen),1065 Peachtree ST NE,Atlanta,GA,30309,2019-10-24,99,33.7833563,-84.3832007
Loews Atlanta Hotel (Employee Cafeteria),1065 Peachtree ST NE,Atlanta,GA,30309,2018-10-25,89,33.7833563,-84.3832007
Loews Atlanta Hotel (Market Eleven),1065 Peachtree ST NE,Atlanta,GA,30309,2019-02-11,91,33.7833563,-84.3832007
Paschal's Restaurant,180-B Northside DR,Atlanta,GA,30312,2019-02-27,97,33.7594706,-84.4030001
Baja Fresh,250 Park Avenue West NW STE 102,Atlanta,GA,30313,2019-04-02,87,33.7615487,-84.3950628
Adesa Diner,5055 Oakley Industrial BLVD,Fairburn,GA,30213,2019-03-13,95,33.5437367,-84.5504475
Little Caesar's,12850 Highway 9 N STE 800,Alpharetta,GA,30004,2019-07-08,94,34.0962464,-84.2781623
Fresco Art Galerie And Cafe,11164 State Bridge STE 5 & 6,Johns Creek,GA,30022,2019-11-18,100,34.0533537,-84.2286205
Sarku Japan,3393 Peachtree NE STE 1013,Atlanta,GA,30326,2020-03-10,95,33.8450944,-84.3611980
Outback Steakhouse,655 Crossville,Roswell,GA,30075,2019-07-12,100,34.0581262,-84.3795444
A Town Wings,2644 Metropolitan PKWY,Atlanta,GA,30315,2020-01-17,87,33.6822917,-84.4073971
All About Taste Catering Company,455 Plasamour DR NE,Atlanta,GA,30324,2017-08-25,95,33.8128224,-84.3725843
Three Sheets LLC (after 5pm),6017 Sandy Springs Circle,Atlanta,GA,30328,2018-10-02,100,33.9198611,-84.3835682
Johnny's New York Style Pizza,7887 Roswell STE A,Sandy Springs,GA,30350,2019-06-10,91,33.9726572,-84.3573473
Glenn Hotel,110 Marietta ST NW,Atlanta,GA,30303,2019-09-10,95,33.7569866,-84.3929901
Farmer's Basket,2204 North Point CIR,Alpharetta,GA,30022,2019-12-17,94,34.0500934,-84.2970255
Max's Coal Oven Pizzeria,300 Marietta ST,Atlanta,GA,30313,2019-03-18,84,33.7616943,-84.3965409
Stats Restaurant,300 Marietta ST,Atlanta,GA,30313,2019-11-01,87,33.7616943,-84.3965409
Stats Deck Bar,300 Marietta ST,Atlanta,GA,30313,2019-06-05,100,33.7616943,-84.3965409
Tin Lizzy's- Midtown,1136 Crescent AVE,Atlanta,GA,30309,2019-05-22,85,33.7857440,-84.3845340
Gizmo's Bar & Grill,24 West Broad ST,Fairburn,GA,30213,2019-12-23,100,33.5674716,-84.5810285
Tokyo Boat,910 Woodstock STE 120,Roswell,GA,30075,2019-02-27,91,34.0609968,-84.3892338
Pemberton Cafe At Pemberton Place,121 Baker ST,Atlanta,GA,30313,2019-07-26,91,33.7627423,-84.3926638
Pizza Hut,1955 Campbellton STE B,Atlanta,GA,30311,2019-02-14,96,33.7086091,-84.4553693
Pizza Hut,3695-C Cascade,Atlanta,GA,30331,2018-12-07,85,33.7249760,-84.5083727
Pizza Hut,6055 Old National HWY STE B,College Park,GA,30349,2019-03-27,76,33.5904107,-84.4700942
Pizza Hut,3126 Washington,Eastpoint,GA,30344,2018-12-11,89,33.6701376,-84.4622013
"Chapman Drug Co., Inc.",615 North Central AVE,Hapeville,GA,30354,2019-01-10,99,33.6592003,-84.4091208
Pizza Hut,460 North AVE,Atlanta,GA,30308,2019-02-07,90,33.7713872,-84.3719273
Mr. Bill's Westside Wings,683 Cascade RD,Atlanta,GA,30310,2019-02-22,96,33.7368434,-84.4364467
Yeah ! Burger,1168 Howell Mill RD NW,Atlanta,GA,30318,2020-01-24,96,33.7851685,-84.4120033
Cherokee Town & Country Club- Williams Room Bar,155 W Paces Ferry NW,Atlanta,GA,30305,2019-09-17,100,33.8452212,-84.3887249
Beef Grill Restaurant,8599 Roswell RD STE C-2,Roswell,GA,30350,2019-09-17,100,33.9887843,-84.3508655
Pipiolo Mexican Cafe,4842 Fulton Industrial BLVD,Atlanta,GA,30336,2019-05-06,85,33.7550000,-84.5447222
Comfort Inn,795 Pollard BLVD,Atlanta,GA,30315,2019-12-16,84,33.7329973,-84.3912865
Subway,5819 Campbellton SW STE 201,Atlanta,GA,30331,2019-05-02,87,33.6995380,-84.5784118
200 Peachtree,200 Peachtree ST,Atlanta,GA,30303,2020-02-19,94,33.7489505,-84.3943303
Woody's Famous Phili Cheese Steaks,981 Monroe DR,Atlanta,GA,30308,2019-11-04,96,33.7809418,-84.3687241
Subway,6370 Powers Ferry STE 104,Atlanta,GA,30339,2019-07-16,89,33.9043087,-84.4304779
Waffle House #1885,66 5th ST,Atlanta,GA,30308,2019-09-06,95,33.7766569,-84.3894624
Sushi Bar Yu-Ka,3330 Piedmont NE,Atlanta,GA,30305,2019-05-03,100,33.8457987,-84.3744938
Saxby's Coffee,100 Decatur ST STE N190,Atlanta,GA,30303,2019-11-01,82,33.7522537,-84.3869758
Buckhead Saloon,3227 Roswell,Atlanta,GA,30305,2019-09-05,93,33.8431460,-84.3787080
US Cafe,2591 Piedmont UNIT 102,Atlanta,GA,30324,2020-03-11,91,33.8245003,-84.3666444
ALO II LLC dba Subway,8420 Senoia STE 107,Fairburn,GA,30213,2019-06-18,96,33.5272859,-84.5751972
Five Guys Burgers & Fries,6297 Roswell,Sandy Springs,GA,30328,2019-04-09,100,33.9267263,-84.3781322
Home Grown GA,968 Memorial DR,Atlanta,GA,30316,2019-12-17,90,33.7462223,-84.3555319
Roux On Canton,946 Canton ST,Roswell,GA,30075,2019-10-11,98,34.0243169,-84.3616900
Taco's And Tequilas,4279 Roswell STE 103,Atlanta,GA,30342,2019-10-23,100,33.8716466,-84.3799550
Studio Movie Grill,2880 Holcomb Bridge,Roswell,GA,30022,2020-03-04,100,33.9907060,-84.2749562
Saltwood Bar,1065 Peachtree ST NE,Atlanta,GA,30309,2019-10-24,100,33.7833563,-84.3832007
Ihop,428 Ponce De Leon AVE NE,Atlanta,GA,30308,2019-11-19,84,33.7733459,-84.3733851
"Chef's Menu, LLC",770 Techwood DR SE,Atlanta,GA,30313,2019-04-16,97,33.7755670,-84.3921688
Feldwood Elementary School,5790 Feldwood RD,College Park,GA,30349,2019-09-17,100,33.5978336,-84.5139887
Republic Social House,437C Memorial DR,Atlanta,GA,30312,2019-03-26,100,33.7466327,-84.3732261
On The Border,1 Buckhead LOOP STE 130,Atlanta,GA,30326,2019-10-28,100,33.8502827,-84.3731316
