name,STREETADDRESS,STREETCITY,STREETSTATE,STREETCOUNTRY,STREETZIPCODE,STREETCOUNTY,STREETMSA,Employment (Individual Site - Current Year),PRIMARYNAICS,Category,SubCategory,SIC8DIGIT,Description,coi_sector,COI Sub-sector,lat,lon
MIDCOAST AVIATION SERVICES,1451 AIRPORT RD,REIDSVILLE,GA,USA,30453-4111,TATTNALL,0,2,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRPORT/AIRPORT SERVICES,45810200,AIRCRAFT MAINTENANCE AND REPAIR SERVICES,AIR,,33.5919677,-84.6238954
CIRCLE K TRUCKING LLC,124 JW YAWN RD,MILAN,GA,USA,31060-4256,DODGE,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0235243,-84.6237932
DISTINGUISHED TRANSPORTATION LLC,7199 MADDOX RD STE B,LITHONIA,GA,USA,30058-5361,DEKALB,43,3,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL & LONG DISTANCE TRUCKING AND LOGISTICS SERVICES,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0235243,-84.6237932
SAXON HAULING,166 SAXON DR,GUYTON,GA,USA,31312-6930,EFFINGHAM,538,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0235243,-84.6237932
CHIHADE INTERNATIONAL- INC.,1025 RACO CT STE D,LAWRENCEVILLE,GA,USA,30046-3366,GWINNETT,43,1,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,,34.0235243,-84.6237932
WORMHOLE TRANSPORT LLC,7306 BRIDLEWOOD CT,JONESBORO,GA,USA,30236-2544,CLAYTON,43,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,33.651038,-84.623692
JEFFERY B STRONG,90 HEARTHSTONE DR,NEWNAN,GA,USA,30263-3053,COWETA,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.3528356,-84.6236867
BROCK'S TRUCKING INC,551 COPPERHEAD RD,CORNELIA,GA,USA,30531-4609,HABERSHAM,0,1,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.619677,-84.623657
DANNY BENNETT TRUCKING,988 FITTS DAVIS RD,DANIELSVILLE,GA,USA,30633-2497,MADISON,42,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,30.9278963,-84.6235308
AAA COOPER TRANSPORTATION,703 MCCOLLUM LN,ALBANY,GA,USA,31705-1507,DOUGHERTY,16,19,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,30.878062,-84.6234321
JJELL COURIER SERVICES LLC,3050 HARVEST CIR,FAIRBURN,GA,USA,30213-1779,FULTON,43,1,492110,COURIERS AND EXPRESS DELIVERY SERVICES,COURIER SERVICE,42150000,COURIER SERVICES EXCEPT BY AIR,TRUCK,Courier/Parcel,34.1060098,-84.6229141
GEORGIA COLD STORAGE CO.,600 ANDREWS RD,COLUMBUS,GA,USA,31906-3802,MUSCOGEE,133,22,493120,REFRIGERATED WAREHOUSING AND STORAGE,REFRIGERATION WAREHOUSE/STORAGE,42229903,WAREHOUSING COLD STORAGE OR REFRIGERATED,WAREHOUSING,Refrigerated,33.7868311,-84.6225665
MIKES DELIVERY SERVICE INCORPORATED,214 WINDY CT SW,LILBURN,GA,USA,30047-6444,GWINNETT,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,34.0444877,-84.6225405
COOK PORTABLE WAREHOUSES,1251 BOWENS MILL RD SE,DOUGLAS,GA,USA,31533-1505,COFFEE,0,2,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42259901,GENERAL WAREHOUSING,OTHER,,34.0938007,-84.6223416
LIGON DISTRIBUTION COMPANY INC,14204 FARMINGTON RD,UPATOI,GA,USA,31829-1824,MUSCOGEE,133,9,488490,OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,TRUCK TERMINAL FACILITY,42310000,TRUCKING TERMINAL FACILITIES,TRUCK,,30.8848565,-84.6222588
NO BRAKES TRUCKING ERNEST B WI,4360 NEW HORIZON DR,LOGANVILLE,GA,USA,30052-5558,WALTON,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.453134,-84.621974
HAYES TRANSPORT LLC,976 OAK CREST DR,HINESVILLE,GA,USA,31313-4122,LIBERTY,0,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,33.9709458,-84.6217036
PETTIS LOGISTICS- LLC,2204 BRISTOL CT,JONESBORO,GA,USA,30236-2626,CLAYTON,43,3,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.7731603,-84.6216921
ROBERT MORELAND,2916 BRIGHT STAR RD,DOUGLASVILLE,GA,USA,30134-1414,DOUGLAS,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.7731603,-84.6216921
WALCOTT BRADLEY TRUCKING INC,205 ICHABOD LN,MCDONOUGH,GA,USA,30252-4966,HENRY,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.088342,-84.621456
DELIVERY MASTER,1610 ROCK CUT RD,CONLEY,GA,USA,30288-2048,CLAYTON,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,33.672751,-84.621098
MDB DELIVERY SERVICE LLC,1435 BOGGS RD APT 516,DULUTH,GA,USA,30096-2393,GWINNETT,43,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,33.796554,-84.6210536
ADVANCED STORAGE & RETRIEVAL S,4840 FOX GLN,MARIETTA,GA,USA,30068-4804,COBB,43,1,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42259901,GENERAL WAREHOUSING,OTHER,,33.8349121,-84.6209718
KIMANI TRUCKINGMATE- LLC,1775 PARKER RD SE BLDG C,CONYERS,GA,USA,30094-6654,ROCKDALE,43,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,33.797635,-84.620924
GARNTO & HALL TRUCKING LLC,6126 WASHINGTON RD,APPLING,GA,USA,30802-3006,COLUMBIA,49,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.785019,-84.620867
FRIENDS TRUCKING LLC,510 WEST AVE STE 200,GAINESVILLE,GA,USA,30501-4253,HALL,0,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.9120743,-84.6206652
ERIC THOMAS TRUCKING LLC,,CLERMONT,GA,USA,30527,HALL,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0334209,-84.6203789
MILLER ZELL,5720 FULTON INDUS BLVD SW,ATLANTA,GA,USA,30336-2715,FULTON,43,3,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,General,33.8800935,-84.6202358
DAWSON TRANSPORT LLC,1578 PATTERSON RD LOT 64,GRIFFIN,GA,USA,30223-9219,SPALDING,0,1,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,34.0705022,-84.6201336
CASABLANCA INTERNATIONAL LLC,15235 BIRMINGHAM HWY,ALPHARETTA,GA,USA,30004-3007,FULTON,43,2,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810301,AIRPORT,AIR,,33.6217062,-84.6200927
COUTURE & COMPANY- LLC,4819 BRIDLEWOOD DR,COLUMBUS,GA,USA,31909-1832,MUSCOGEE,133,2,492210,LOCAL MESSENGERS AND LOCAL DELIVERY,COURIER SERVICE,42159903," PACKAGE DELIVERY, VEHICULAR ",TRUCK,Courier/Parcel,30.9289804,-84.6200098
HANGAR 3,37 CORPORATE RD,SAVANNAH,GA,USA,31408-9044,CHATHAM,538,4,488999,ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,REGULATION/ADMINISTRATIVE TRANSPORTATION TRANSPORTATION SERVICES,47899902,SPACE FLIGHT OPERATIONS EXCEPT GOVERNMENT,OTHER, ,33.883398,-84.6198083
H&R DELIVERY SERVICES,7076 CAROLYN CIR,LITHIA SPRINGS,GA,USA,30122-2011,DOUGLAS,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,33.543462,-84.6197229
SOUTHERN AERO SERVICES INC,73 CEDAR RIDGE AIRPORT RD,GRIFFIN,GA,USA,30223-6804,SPALDING,0,2,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,ENGAGED IN AIRCRAFT MAINTENANCE AND REPAIR,45810202,AIRCRAFT SERVICING AND REPAIRING,AIR,,33.8814594,-84.6196633
ALLSTAR SYSTEMS- LIMITED LIABILITY COMPANY,65 STONE RIDGE DR,COVINGTON,GA,USA,30016-6623,NEWTON,43,7,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.8772916,-84.6192748
SINKFIELD- SICONIUS,1376B ASBELL RD,IRWINTON,GA,USA,31042-2614,WILKINSON,0,1,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD","TRUCKING, EXCEPT LOCAL",42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,31.7589486,-84.619118
AMC HAULING LLC,377 STONEY HILL LN,CANTON,GA,USA,30115-8257,CHEROKEE,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129909," LIGHT HAULAGE AND CARTAGE, LOCAL ",TRUCK,Local,30.9265559,-84.6190811
FORBES UNLIMITED TRUCKING,2238 WINDERMERE WAY,POWDER SPRINGS,GA,USA,30127-1469,COBB,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.8160636,-84.6190704
AVERITT EXPRESS- INC.,526 CDP INDUSTRIAL BLVD,GROVETOWN,GA,USA,30813-3211,COLUMBIA,49,20,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,31.7504599,-84.618958
IDEAL CONTRACTING SERVICES,160 ROSEWOOD CIR,COVINGTON,GA,USA,30016-8802,NEWTON,43,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,34.0539218,-84.6189068
ALL U NEED SELF STORAGE,5793 BATTLEFIELD PKWY,RINGGOLD,GA,USA,30736-5154,CATOOSA,115,1,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42259901,GENERAL WAREHOUSING,OTHER,,31.7509287,-84.6187061
HOT SHOT LOGISTICS LLC,542 GOLF COURSE RD,TALLAPOOSA,GA,USA,30176-3675,HARALSON,0,5,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING-WITH STORAGE,42140000, LOCAL TRUCKING WITH STORAGE ,TRUCK,Local,33.7902902,-84.6186913
HARRIET TRUCKING LLC,77 IMPERIAL DR,HIRAM,GA,USA,30141-2264,PAULDING,43,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.6792619,-84.6185102
GRECO TRUCKING- INC.,343 BLACK OAK CT SW,MARIETTA,GA,USA,30008-3834,COBB,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.7930111,-84.6183352
ATIGUN GROUP- INC,425 3RD ST STE 304,MACON,GA,USA,31201-7962,BIBB,343,5,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE EQUIPMENT RENTAL/LEASING,42259901,GENERAL WAREHOUSING,WAREHOUSING,General,33.9061587,-84.6180276
NOW LOGISTICS- LLC,5508 KATHERINE VILLAGE DR,ELLENWOOD,GA,USA,30294-6610,DEKALB,43,1,484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL LOCAL TRUCKING-WITH STORAGE,42139907,LESS-THAN-TRUCKLOAD (LTL),TRUCK,Dry Van,30.8824338,-84.6180113
SOUTHERN OUTLAW TRUCKING INC.,312 BYPASS RD,BARNESVILLE,GA,USA,30204-3942,LAMAR,0,11,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0382602,-84.6179254
OFFICIAL TRANSPORT SOLUTIONS LLC,3961 FLOYD RD STE 300-384,AUSTELL,GA,USA,30106-8535,COBB,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR AIRPORT/AIRPORT SERVICES,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.623113,-84.6178641
KENNY ALEXANDER,7897 THRASHER LN,JONESBORO,GA,USA,30236-7273,CLAYTON,43,1,488490,OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,TRANSPORTING PRODUCTS,42310000,TRUCKING TERMINAL FACILITIES,TRUCK,,33.5319167,-84.6174142
HARBEV ENTERPRISES,1304 STEPHENS POND VW,LOGANVILLE,GA,USA,30052-8746,WALTON,43,2,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,AIRPORT/AIRPORT SERVICES BUILDING MAINTENANCE SVC,45810201,AIRCRAFT CLEANING AND JANITORIAL SERVICE,AIR,,34.29574,-84.617303
BJC TRUCKING LLC,1933 PETERS RD,TUCKER,GA,USA,30084-6553,DEKALB,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.5312919,-84.61722
JB S HAULING,3089 MAYSVILLE RD,COMMERCE,GA,USA,30529-1374,JACKSON,42,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129909," LIGHT HAULAGE AND CARTAGE, LOCAL ",TRUCK,Local,34.0563194,-84.6171893
BARRY SUGGS,5779 CENTER HILL CH RD,LOGANVILLE,GA,USA,30052-3022,WALTON,43,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.4702418,-84.617128
R. W. GRIFFIN FEED- SEED & FERTILIZER- INC.,513 GASKIN AVE S,DOUGLAS,GA,USA,31533-1807,COFFEE,0,10,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,General,33.5427664,-84.617128
WESTERN OVERSEAS CORPORATION,510 PLAZA DR STE 1860,ATLANTA,GA,USA,30349-6005,FULTON,43,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310103, CUSTOMHOUSE BROKERS ,CUSTOMS BROKER,,33.9024885,-84.6170667
ELEVATED INVESTORS- LLC,1806 WYNTHROP MANOR DR SW,MARIETTA,GA,USA,30064-2831,COBB,43,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.7928148,-84.6170171
WILLIAMS TRUCKING,1043 NEWTON RD,CAMILLA,GA,USA,31730-5412,MITCHELL,0,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.521219,-84.616816
DD AND S TRUCKING LLC,40 GLEN ECHO DR,COVINGTON,GA,USA,30016-7405,NEWTON,43,4,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.857413,-84.6167983
BROTHERS TRANSPORTS LLC,4910 ASHBROOKE WAY,GROVETOWN,GA,USA,30813-2012,COLUMBIA,49,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL","LOCAL TRUCKING, WITHOUT STORAGE, NSK",42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.857413,-84.6167983
EZ LOGISTICS & TRUCKING SERVICES- INC,1023 ARDSLEY PL,NORCROSS,GA,USA,30093-6403,GWINNETT,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,30.8948449,-84.6167676
MYRON HARRELL TRUCKING CO,125 RIVER OAKS DR,BAINBRIDGE,GA,USA,39817-6808,DECATUR,0,3,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,32.7805998,-84.6167229
DALAM TRUCKING INC.,931 ASHTON OAK CIR,STONE MOUNTAIN,GA,USA,30083-5171,DEKALB,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0341349,-84.6164213
WARRIOR DEFENSE SERVICES LLC,807 21ST AVE,ALBANY,GA,USA,31701-1109,DOUGHERTY,16,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANS ARRANGMT DATA PROCESSING/PREP MANAGEMENT SERVICES FACILITIES SUPPORT SVCS,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,33.8402785,-84.6163919
WILLIS AGRICULTURAL STORAGE- INC. (FL),178 US HIGHWAY 82 E,CUTHBERT,GA,USA,39840-3013,RANDOLPH,0,15,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,Farm Product,33.7633908,-84.6163715
ADVANCED DISTRIBUTION SYSTEMS- INC.,1140 COMMERCE DR STE A,MORROW,GA,USA,30260-2946,CLAYTON,43,35,493110,GENERAL WAREHOUSING AND STORAGE,GENERAL WAREHOUSE/STORAGE,42250000,GENERAL WAREHOUSING AND STORAGE,WAREHOUSING,General,33.9274263,-84.6163439
POPE TRUCKING- INC.,175 GEORGIA PACIFIC LN,PEARSON,GA,USA,31642,ATKINSON,0,74,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL,42139903,CONTRACT HAULERS,TRUCK,Dry Van,33.6805353,-84.6162897
DMG TRUCKING LLC,5635 STRATHMOOR MANOR CIR,LITHONIA,GA,USA,30058-2625,DEKALB,43,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,31.7548376,-84.616253
JAYLEE TRUCKING LLC,55 DOVES NEST,COVINGTON,GA,USA,30016-4523,NEWTON,43,10,484220,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129905,DUMP TRUCK HAULAGE,TRUCK,Dump Truck,34.0085683,-84.6162283
WARE HAULING- LLC,5561 TURNSTONE DR SW,CONYERS,GA,USA,30094-4764,ROCKDALE,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129909," LIGHT HAULAGE AND CARTAGE, LOCAL ",TRUCK,Local,34.001227,-84.6162149
STEEL STALLION EXPRESS- LLC.,195 FAIRFIELD CIR,FAYETTEVILLE,GA,USA,30214-3389,FAYETTE,43,2,484121,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD",TRUCKING OPERATOR-NONLOCAL LOCAL TRUCKING OPERATOR LOCAL TRUCKING-WITH STORAGE,42130000,TRUCKING EXCEPT LOCAL,TRUCK,Dry Van,33.6234367,-84.6158462
BLUE GRACELOGISTICS,4319 S LEE ST,BUFORD,GA,USA,30518-5747,GWINNETT,43,3,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,34.250709,-84.6157999
XPO LOGISTICS,2509 DEAN FOREST RD,GARDEN CITY,GA,USA,31408-9573,CHATHAM,538,2,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,34.1450769,-84.6157376
M2G CARRIERS INC.,4213 PULLMAN CT,AUSTELL,GA,USA,30106-1594,COBB,43,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,34.054168,-84.615641
T&M TRANSPORT LLC,2128 AUTUMN CHASE DR,STOCKBRIDGE,GA,USA,30281-9209,HENRY,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.083183,-84.6155536
DB TRANSPORTATION INC.,381 VISTA CREEK DR,STOCKBRIDGE,GA,USA,30281-2081,HENRY,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,34.0631849,-84.6154718
ERIC MCKAY,222 SWEETWATER CIR,MABLETON,GA,USA,30126-5412,COBB,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.6816216,-84.6152264
C & S GRADING AND HAULING,2620 LONE OAK TRL NW,KENNESAW,GA,USA,30144-5738,COBB,43,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129909," LIGHT HAULAGE AND CARTAGE, LOCAL ",TRUCK,Local,34.0665557,-84.6151855
ATLANTA DIVING SPECIALTIES LLC,521 BEECHWOOD DR,CLEVELAND,GA,USA,30528-6855,WHITE,0,3,488330,NAVIGATIONAL SERVICES TO SHIPPING,TOWING/TUGBOAT SERVICES,44920000,TOWING AND TUGBOAT SERVICE,OCEAN,,33.8293747,-84.6151446
J&J EXPRESS,2521 BOLD SPRINGS RD NW,MONROE,GA,USA,30656-4008,WALTON,43,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,33.8280248,-84.6151037
VANN'S LOGISTIC SERVICES LLC,1417 BRAXFORD CT,LAWRENCEVILLE,GA,USA,30044-6177,GWINNETT,43,1,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310000, FREIGHT TRANSPORTATION ARRANGEMENT ,FREIGHT FORWARDING,,34.0053409,-84.6148788
RL TRUCKING,3768 CREST DR,HEPHZIBAH,GA,USA,30815-6110,RICHMOND,49,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.9936345,-84.6147848
AUGUSTA DELIVERY SVC,4230 BELAIR FRONTAGE RD,AUGUSTA,GA,USA,30909-9669,RICHMOND,49,1,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42129903," DELIVERY SERVICE, VEHICULAR ",TRUCK,Local,33.9936345,-84.6147848
HUGO CABRERA,1204 HUNTER RIDGE LN,NORCROSS,GA,USA,30092-3726,GWINNETT,43,2,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LOCAL TRUCKING OPERATOR,42120000," LOCAL TRUCKING, WITHOUT STORAGE ",TRUCK,Local,33.9937006,-84.6147152
JAYMATT AVIATION LLC,303 WINDSOR PL,PEACHTREE CITY,GA,USA,30269-3716,FAYETTE,43,3,488119,OTHER AIRPORT OPERATIONS,AIRPORT/AIRPORT SERVICES,45810000,AIRPORTS FLYING FIELDS AND SERVICES,AIR,,33.921484,-84.6140099
PROGRESSIVE FREIGHT- INC.,211 INDUSTRIAL BLVD,THOMASVILLE,GA,USA,31792-6344,THOMAS,0,11,488510,FREIGHT TRANSPORTATION ARRANGEMENT,FREIGHT TRANSPORTATION ARRANGEMENT,47310100, TRANSPORTATION AGENTS AND BROKERS ,TRUCK,,33.8506311,-84.6139996
